Staffel,Teilnehmerin,Platzierung,Alter,Größe (cm),Haarfarbe,Augenfarbe,Hautfarbe,Brustumfang (cm),Taillenumfang (cm),Hüftumfang (cm),Kleidergröße,Schuhgröße
13,Trixi Giese ,9,18,174,blond,blau/grau,hell,75,59,91,32,38
13,Zoe Saip ,10,18,,,,,,,,,
13,Victoria Pavlas ,11,19,180,,,,,,,,
13,Bruna Rodrigues ,11,24,,,,,,,,,
13,Abigail Odoom ,13,20,,,,,,,,,
13,Shari Streich,14,23,176,schwarz,braun/grün,dunkel,86,60,88,34,40
13,Stephanie „Steffi“ Groll ,15,19,,,,,,,,,
13,Anne Volkmann ,16,23,,,,,,,,,
13,Gerda Lewis,17,25,,,,,,,,,
13,Sarah Amiri ,18,18,176,dunkelbraun,braun ,hell,90,72,93,36,40.5
13,Isabella Özdemir ,19,22,,,,,,,,,
13,Franziska Schwager ,19,21,180,braun,grün,hell,86,62,91,36,40
13,Karoline Seul,21,19,,,,,,,,,
13,Cindy Valèrie Wersche ,22,23,,,,,,,,,
13,Elisabeth „Lis“ Kanzler ,22,22,174,dunkelbraun,braun ,dunkler teint,84,64,90,,
13,Julia Freimuth ,24,17,,,,,,,,,
13,Liane Polt,25,17,,,,,,,,,
13,Lania Barzanji ,26,21,,,,,,,,,
13,Viktoria Wendell ,26,21,,,,,,,,,
13,Ivana Rajić-Hrnjić,26,22,,,,,,,,,
13,Selma Toroy,29,24,,,,,,,,,
